iter	Passed	Remaining
426	1948	2614
427	1953	2610
428	1957	2604
429	1961	2599
430	1968	2598
431	1973	2594
432	1978	2590
433	1983	2586
434	1987	2581
435	1992	2577
436	1997	2573
437	2003	2570
438	2007	2565
439	2012	2560
440	2016	2556
441	2021	2551
442	2024	2546
443	2028	2540
444	2033	2535
445	2037	2531
446	2041	2526
447	2047	2522
448	2052	2518
449	2057	2514
450	2062	2510
451	2066	2504
452	2069	2499
453	2074	2494
454	2078	2489
455	2082	2484
456	2086	2479
457	2091	2474
458	2095	2469
459	2100	2465
460	2105	2461
461	2109	2456
462	2112	2449
463	2116	2444
464	2120	2439
465	2128	2438
466	2133	2434
467	2137	2429
468	2141	2424
469	2144	2418
470	2148	2413
471	2153	2409
472	2159	2405
473	2164	2401
474	2169	2397
475	2174	2393
476	2178	2388
477	2182	2383
478	2186	2378
479	2191	2373
480	2196	2370
481	2200	2365
482	2206	2361
483	2210	2356
484	2214	2351
485	2219	2346
486	2225	2344
487	2229	2339
488	2233	2334
489	2238	2330
490	2243	2326
491	2248	2322
492	2253	2317
493	2257	2312
494	2261	2307
495	2267	2303
496	2271	2298
497	2275	2293
498	2279	2288
499	2285	2285
500	2289	2280
501	2293	2275
502	2298	2271
503	2303	2266
504	2308	2263
505	2313	2258
506	2318	2254
507	2324	2250
508	2328	2246
509	2332	2241
510	2337	2237
511	2341	2231
512	2345	2227
513	2348	2220
514	2352	2215
515	2357	2210
516	2361	2205
517	2364	2200
518	2369	2196
519	2376	2193
520	2381	2189
521	2385	2184
522	2389	2179
523	2393	2174
524	2399	2170
525	2403	2166
526	2407	2161
527	2412	2156
528	2416	2151
529	2421	2147
530	2426	2143
531	2432	2139
532	2436	2135
533	2441	2130
534	2444	2124
535	2448	2119
536	2453	2115
537	2459	2111
538	2463	2107
539	2467	2101
540	2471	2097
541	2476	2092
542	2481	2088
543	2485	2083
544	2490	2079
545	2495	2075
546	2499	2070
547	2504	2065
548	2508	2060
549	2512	2055
550	2517	2051
551	2521	2046
552	2525	2041
553	2529	2036
554	2534	2031
555	2538	2027
556	2542	2022
557	2547	2018
558	2558	2559	559	2559	2564	560	2560	2569	561	2561	2573	562	2562	2579	563	2563	2583	564	2564	2589	565	2565	2594	1989
566	2600	1985
567	2604	1981
568	2608	1976
569	2613	1971
570	2617	1966
571	2623	1963
572	2628	1958
573	2632	1953
574	2636	1948
575	2640	1943
576	2645	1939
577	2650	1935
578	2656	1931
579	2660	1926
580	2664	1921
581	2668	1916
582	2673	1912
583	2676	1906
584	2681	1902
585	2685	1897
586	2690	1892
587	2694	1887
588	2700	1884
589	2704	1879
590	2708	1874
591	2714	1870
592	2719	1866
593	2723	1861
594	2728	1856
595	2732	1852
596	2738	1848
597	2743	1844
598	2749	1840
599	2754	1836
